RunID,ConfigID,Repetition,Problema,PopSize,CrossoverProb,MutationProb,Generations,TiempoMs,Seed,SolutionID,Objetivo,Valor
C01_R20,1,20,HandballFixture,100,1.000,0.010,1000,1131,1020,1,O2,5.000000
C01_R20,1,20,HandballFixture,100,1.000,0.010,1000,1131,1020,1,Restriccion,0.000000
C01_R21,1,21,HandballFixture,100,1.000,0.010,1000,1188,1021,1,O1,20.000000
C01_R21,1,21,HandballFixture,100,1.000,0.010,1000,1188,1021,1,O2,5.000000
C01_R21,1,21,HandballFixture,100,1.000,0.010,1000,1188,1021,1,Restriccion,0.000000
C01_R22,1,22,HandballFixture,100,1.000,0.010,1000,1119,1022,1,O1,20.000000
C01_R22,1,22,HandballFixture,100,1.000,0.010,1000,1119,1022,1,O2,5.000000
C01_R22,1,22,HandballFixture,100,1.000,0.010,1000,1119,1022,1,Restriccion,0.000000
C01_R23,1,23,HandballFixture,100,1.000,0.010,1000,1155,1023,1,O1,20.000000
C01_R23,1,23,HandballFixture,100,1.000,0.010,1000,1155,1023,1,O2,5.000000
C01_R23,1,23,HandballFixture,100,1.000,0.010,1000,1155,1023,1,Restriccion,0.000000
C01_R24,1,24,HandballFixture,100,1.000,0.010,1000,1103,1024,1,O1,20.000000
C01_R24,1,24,HandballFixture,100,1.000,0.010,1000,1103,1024,1,O2,5.000000
C01_R24,1,24,HandballFixture,100,1.000,0.010,1000,1103,1024,1,Restriccion,0.000000
C01_R25,1,25,HandballFixture,100,1.000,0.010,1000,1113,1025,1,O1,20.000000
C01_R25,1,25,HandballFixture,100,1.000,0.010,1000,1113,1025,1,O2,5.000000
C01_R25,1,25,HandballFixture,100,1.000,0.010,1000,1113,1025,1,Restriccion,0.000000
C01_R26,1,26,HandballFixture,100,1.000,0.010,1000,1119,1026,1,O1,20.000000
C01_R26,1,26,HandballFixture,100,1.000,0.010,1000,1119,1026,1,O2,6.000000
C01_R26,1,26,HandballFixture,100,1.000,0.010,1000,1119,1026,1,Restriccion,0.000000
C01_R27,1,27,HandballFixture,100,1.000,0.010,1000,1109,1027,1,O1,20.000000
C01_R27,1,27,HandballFixture,100,1.000,0.010,1000,1109,1027,1,O2,5.000000
C01_R27,1,27,HandballFixture,100,1.000,0.010,1000,1109,1027,1,Restriccion,0.000000
C01_R28,1,28,HandballFixture,100,1.000,0.010,1000,1126,1028,1,O1,20.000000
C01_R28,1,28,HandballFixture,100,1.000,0.010,1000,1126,1028,1,O2,11.000000
C01_R28,1,28,HandballFixture,100,1.000,0.010,1000,1126,1028,1,Restriccion,0.000000
C01_R29,1,29,HandballFixture,100,1.000,0.010,1000,1154,1029,1,O1,20.000000
C01_R29,1,29,HandballFixture,100,1.000,0.010,1000,1154,1029,1,O2,6.000000
C01_R29,1,29,HandballFixture,100,1.000,0.010,1000,1154,1029,1,Restriccion,0.000000
C01_R30,1,30,HandballFixture,100,1.000,0.010,1000,1108,1030,1,O1,20.000000
C01_R30,1,30,HandballFixture,100,1.000,0.010,1000,1108,1030,1,O2,5.000000
C01_R30,1,30,HandballFixture,100,1.000,0.010,1000,1108,1030,1,Restriccion,0.000000
C01_R31,1,31,HandballFixture,100,1.000,0.010,1000,1115,1031,1,O1,20.000000
C01_R31,1,31,HandballFixture,100,1.000,0.010,1000,1115,1031,1,O2,5.000000
C01_R31,1,31,HandballFixture,100,1.000,0.010,1000,1115,1031,1,Restriccion,0.000000
C01_R32,1,32,HandballFixture,100,1.000,0.010,1000,1130,1032,1,O1,20.000000
C01_R32,1,32,HandballFixture,100,1.000,0.010,1000,1130,1032,1,O2,6.000000
C01_R32,1,32,HandballFixture,100,1.000,0.010,1000,1130,1032,1,Restriccion,0.000000
C01_R33,1,33,HandballFixture,100,1.000,0.010,1000,1112,1033,1,O1,20.000000
C01_R33,1,33,HandballFixture,100,1.000,0.010,1000,1112,1033,1,O2,6.000000
C01_R33,1,33,HandballFixture,100,1.000,0.010,1000,1112,1033,1,Restriccion,0.000000
C01_R34,1,34,HandballFixture,100,1.000,0.010,1000,1112,1034,1,O1,20.000000
C01_R34,1,34,HandballFixture,100,1.000,0.010,1000,1112,1034,1,O2,5.000000
C01_R34,1,34,HandballFixture,100,1.000,0.010,1000,1112,1034,1,Restriccion,0.000000
C01_R35,1,35,HandballFixture,100,1.000,0.010,1000,1157,1035,1,O1,20.000000
C01_R35,1,35,HandballFixture,100,1.000,0.010,1000,1157,1035,1,O2,5.000000
C01_R35,1,35,HandballFixture,100,1.000,0.010,1000,1157,1035,1,Restriccion,0.000000
C01_R36,1,36,HandballFixture,100,1.000,0.010,1000,1155,1036,1,O1,20.000000
C01_R36,1,36,HandballFixture,100,1.000,0.010,1000,1155,1036,1,O2,5.000000
C01_R36,1,36,HandballFixture,100,1.000,0.010,1000,1155,1036,1,Restriccion,0.000000
C01_R37,1,37,HandballFixture,100,1.000,0.010,1000,1141,1037,1,O1,20.000000
C01_R37,1,37,HandballFixture,100,1.000,0.010,1000,1141,1037,1,O2,5.000000
C01_R37,1,37,HandballFixture,100,1.000,0.010,1000,1141,1037,1,Restriccion,0.000000
C01_R38,1,38,HandballFixture,100,1.000,0.010,1000,1112,1038,1,O1,20.000000
C01_R38,1,38,HandballFixture,100,1.000,0.010,1000,1112,1038,1,O2,6.000000
C01_R38,1,38,HandballFixture,100,1.000,0.010,1000,1112,1038,1,Restriccion,0.000000
C01_R39,1,39,HandballFixture,100,1.000,0.010,1000,1131,1039,1,O1,20.000000
C01_R39,1,39,HandballFixture,100,1.000,0.010,1000,1131,1039,1,O2,6.000000
C01_R39,1,39,HandballFixture,100,1.000,0.010,1000,1131,1039,1,Restriccion,0.000000
C01_R40,1,40,HandballFixture,100,1.000,0.010,1000,1129,1040,1,O1,20.000000
C01_R40,1,40,HandballFixture,100,1.000,0.010,1000,1129,1040,1,O2,6.000000
C01_R40,1,40,HandballFixture,100,1.000,0.010,1000,1129,1040,1,Restriccion,0.000000
C01_R41,1,41,HandballFixture,100,1.000,0.010,1000,1128,1041,1,O1,20.000000
C01_R41,1,41,HandballFixture,100,1.000,0.010,1000,1128,1041,1,O2,5.000000
C01_R41,1,41,HandballFixture,100,1.000,0.010,1000,1128,1041,1,Restriccion,0.000000
C01_R42,1,42,HandballFixture,100,1.000,0.010,1000,1111,1042,1,O1,20.000000
C01_R42,1,42,HandballFixture,100,1.000,0.010,1000,1111,1042,1,O2,5.000000
C01_R42,1,42,HandballFixture,100,1.000,0.010,1000,1111,1042,1,Restriccion,0.000000
